北京卫视,#genre#
江苏卫视 8M1080,http://221.179.136.150/PLTV/88888888/224/3221226506/1.m3u8
江西卫视 4M1080,http://221.179.136.150/PLTV/88888888/224/3221226243/1.m3u8
河北卫视 8M1080,http://221.179.136.140/PLTV/88888888/224/3221226507/1.m3u8
浙江卫视 4M1080,http://221.179.136.150/PLTV/88888888/224/3221226247/1.m3u8
浙江卫视 8M1080,http://221.179.136.140/PLTV/88888888/224/3221226365/1.m3u8
浙江卫视 8M1080,http://221.179.217.94/PLTV/88888888/224/3221226504/1.m3u8
深圳卫视 4M1080,http://111.13.42.7/PLTV/88888888/224/3221225897/1.m3u8
深圳卫视 4M1080,http://221.179.136.150/PLTV/88888888/224/3221226245/1.m3u8
深圳卫视 8M1080,http://111.13.42.10/PLTV/88888888/224/3221226495/1.m3u8
湖北卫视 4M1080,http://221.179.136.150/PLTV/88888888/224/3221226240/1.m3u8
湖北卫视 8M1080,http://221.179.136.140/PLTV/88888888/224/3221226310/1.m3u8
湖北卫视 8M1080,http://111.13.42.46/PLTV/88888888/224/3221226503/1.m3u8
湖南卫视 4M1080,http://221.179.136.150/PLTV/88888888/224/3221226241/1.m3u8
湖南卫视 8M1080,http://221.179.136.147/PLTV/88888888/224/3221226509/1.m3u8
贵州卫视 8M1080,http://221.179.136.143/PLTV/88888888/224/3221226497/1.m3u8
辽宁卫视 8M1080,http://221.179.136.140/PLTV/88888888/224/3221226500/1.m3u8
黑龙江卫视 4M1080,http://221.179.136.150/PLTV/88888888/224/3221226239/1.m3u8
黑龙江卫视 8M1080,http://221.179.136.150/PLTV/88888888/224/3221226498/1.m3u8
北京冬奥纪实 8M1080,http://111.13.42.43/PLTV/88888888/224/3221226438/1.m3u8
北京影视 8M1080,http://221.179.136.150/PLTV/88888888/224/3221226486/1.m3u8
北京文艺 8M1080,http://221.179.136.135/PLTV/88888888/224/3221226440/1.m3u8
北京新闻 8M1080,http://221.179.136.140/PLTV/88888888/224/3221226437/1.m3u8
北京卡酷 8M1080,http://221.179.136.150/PLTV/88888888/224/3221226558/1.m3u8
湖南快乐垂钓 8M1080,http://111.13.42.46/PLTV/88888888/224/3221226549/1.m3u8
湖南茶频道 8M1080,http://221.179.136.150/PLTV/88888888/224/3221226548/1.m3u8
黑莓动画 4M1080,http://221.179.136.150/PLTV/88888888/224/3221225914/1.m3u8
黑莓动画 4M1080,http://221.179.136.150/PLTV/88888888/224/3221226289/1.m3u8
黑莓电影 4M1080,http://221.179.136.150/PLTV/88888888/224/3221225927/1.m3u8
黑莓电影 4M1080,http://221.179.136.138/PLTV/88888888/224/3221226292/1.m3u8
黑莓电竞 4M1080,http://221.179.136.150/PLTV/88888888/224/3221225931/1.m3u8
黑莓电竞 4M1080,http://221.179.217.75/PLTV/88888888/224/3221226250/1.m3u8
黑莓电竞 4M1080,http://221.179.136.134/PLTV/88888888/224/3221226262/1.m3u8
黑莓电竞 4M1080,http://221.179.136.150/PLTV/88888888/224/3221226307/1.m3u8
NewTV,#genre#
中国功夫 2.5M1080,http://221.179.136.150/PLTV/88888888/224/3221225951/1.m3u8
中国功夫 2.5M1080,http://221.179.136.138/PLTV/88888888/224/3221226298/1.m3u8
中国功夫 2.5M1080,http://221.179.136.143/PLTV/88888888/224/3221226321/1.m3u8
怡伴健康 2.5M1080,http://221.179.136.150/PLTV/88888888/224/3221225919/1.m3u8
怡伴健康 2.5M1080,http://221.179.136.150/PLTV/88888888/224/3221226306/1.m3u8
怡伴健康 2.5M1080,http://221.179.136.140/PLTV/88888888/224/3221226327/1.m3u8
军事评论 2.5M1080,http://221.179.136.150/PLTV/88888888/224/3221225926/1.m3u8
军事评论 2.5M1080,http://221.179.136.134/PLTV/88888888/224/3221226303/1.m3u8
军事评论 2.5M1080,http://221.179.136.143/PLTV/88888888/224/3221226326/1.m3u8
军旅剧场 2.5M1080,http://221.179.136.150/PLTV/88888888/224/3221225923/1.m3u8
军旅剧场 2.5M1080,http://221.179.136.134/PLTV/88888888/224/3221226301/1.m3u8
军旅剧场 2.5M1080,http://221.179.136.143/PLTV/88888888/224/3221226324/1.m3u8
农业致富 4M1080,http://221.179.136.150/PLTV/88888888/224/3221225930/1.m3u8
农业致富 4M1080,http://221.179.136.134/PLTV/88888888/224/3221226304/1.m3u8
动作电影 2.5M1080,http://221.179.136.150/PLTV/88888888/224/3221225915/1.m3u8
动作电影 2.5M1080,http://221.179.136.134/PLTV/88888888/224/3221226288/1.m3u8
动作电影 2.5M1080,http://221.179.136.143/PLTV/88888888/224/3221226329/1.m3u8
古装剧场 2.5M1080,http://221.179.136.150/PLTV/88888888/224/3221225916/1.m3u8
古装剧场 2.5M1080,http://221.179.136.134/PLTV/88888888/224/3221226300/1.m3u8
古装剧场 2.5M1080,http://221.179.136.145/PLTV/88888888/224/3221226323/1.m3u8
家庭剧场 2.5M1080,http://221.179.136.150/PLTV/88888888/224/3221225918/1.m3u8
家庭剧场 2.5M1080,http://221.179.136.138/PLTV/88888888/224/3221226290/1.m3u8
家庭剧场 2.5M1080,http://221.179.136.140/PLTV/88888888/224/3221226330/1.m3u8
惊悚悬疑 2.5M1080,http://221.179.136.150/PLTV/88888888/224/3221225921/1.m3u8
惊悚悬疑 2.5M1080,http://221.179.136.134/PLTV/88888888/224/3221226294/1.m3u8
